id,codigo,tipo_equipamento,fabricante,modelo,numero_serie,patrimonio,status,unidade_id,local_atual_nome,cliente_atual,observacoes,contador_mono,contador_color,data_cadastro,ativo
512,RCH-IMP-000001,periferico,,MODELO,NUM SERIE,,ativo,,LOCAL ATUAL,,MOTIVO,0,0,2026-06-17 11:50:04,1
513,RCH-IMP-000002,impressora,Oki,OKI ES5112,ak5c034556,,ativo,199,RENCH - Estoque,,,41245,0,2026-06-17 11:50:04,1
514,RCH-IMP-000003,impressora,Oki,OKI ES5112,bw02001075,,ativo,,Ama Capão,,,94654,0,2026-06-17 11:50:04,1
515,RCH-IMP-000004,impressora,Oki,OKI ES4172,ak97011014,,ativo,,Araguaya,,,118249,0,2026-06-17 11:50:04,1
516,RCH-IMP-000005,impressora,Epson,EPSON L3150,x5ev975364,,ativo,,Saquarema - Samir - (B),,,15455,0,2026-06-17 11:50:04,1
517,RCH-IMP-000006,impressora,Hp,HP M432,brbsp9d0xt,,ativo,,R10 - SP,,,81504,0,2026-06-17 11:50:04,1
518,RCH-IMP-000007,impressora,Oki,OKI ES4172,ak76023968,,ativo,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,,120922,0,2026-06-17 11:50:04,1
519,RCH-IMP-000008,impressora,Oki,OKI ES4172,ak74007350,,ativo,,Hosp Irmã Dulce 4Id (Praia Grande ),,,239066,0,2026-06-17 11:50:04,1
520,RCH-IMP-000009,impressora,Oki,OKI ES4172,ak82030734,,ativo,,Humana Verbo Divino,,,221782,0,2026-06-17 11:50:04,1
521,RCH-IMP-000010,impressora,Hp,HPE55040,jpbcncs247,,ativo,,R10 - SP,,,11905,0,2026-06-17 11:50:04,1
522,RCH-IMP-000011,impressora,Oki,OKI ES4172,ak76023969,,ativo,,Amparo,,,48732,0,2026-06-17 11:50:04,1
523,RCH-IMP-000012,impressora,Hp,HP M479,cncrnbj43y,,ativo,,Porsche Matriz,,,13317,19543,2026-06-17 11:50:04,1
524,RCH-IMP-000013,impressora,Oki,OKI C711,ak96000211d0,,ativo,,R10,,,0,20268,2026-06-17 11:50:04,1
525,RCH-IMP-000014,impressora,Oki,OKI C711,ak77045151d0,,ativo,,Mercadão-Pirajussara,,,92426,36,2026-06-17 11:50:04,1
526,RCH-IMP-000015,impressora,Epson,EPSON L1250,xbfr003261,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
527,RCH-IMP-000016,impressora,Epson,EPSON L1250,xbfr003623,,ativo,,R10 - SP,,,27622,0,2026-06-17 11:50:04,1
528,RCH-IMP-000017,impressora,,Samsung M2835,07bubqag700004nt,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
529,RCH-IMP-000018,impressora,Hp,HP M4103,brbsr1h0mm,,ativo,,Porsche - Florianopolis,,,0,0,2026-06-17 11:50:04,1
530,RCH-IMP-000019,impressora,Hp,HP M4103,brbsq9n0m0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
531,RCH-IMP-000020,impressora,Hp,HP M4103,brbsq98084,,ativo,,Porsche - Florianopolis,,,0,0,2026-06-17 11:50:04,1
532,RCH-IMP-000021,impressora,Epson,EPSON L1250,xbfr011789,,ativo,,Hosp Paulo de Frontin (P),,,12004,0,2026-06-17 11:50:04,1
533,RCH-IMP-000022,impressora,Epson,EPSON L1250,xbfr008014,,ativo,,"AES São Caetano  (Rua Rafael Corrêa Sampaio,361)",,,30318,0,2026-06-17 11:50:04,1
534,RCH-IMP-000023,impressora,Oki,OKI ES6405,ak51003860b0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
535,RCH-IMP-000024,impressora,Oki,OKI C711,ak61009507,,ativo,,Upa Americana,,,55923,11071,2026-06-17 11:50:04,1
536,RCH-IMP-000025,impressora,Oki,OKI C711,ak87010142d0,,ativo,,"Mercadão - R. Professor Teresinha rodruigues kaliz, Peruibe 881 - loja - 4",,,31074,51,2026-06-17 11:50:04,1
537,RCH-IMP-000026,impressora,Oki,OKI C711,akb2002039d0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
538,RCH-IMP-000027,impressora,Oki,OKI C711,ak17037959,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
539,RCH-IMP-000028,impressora,Oki,OKI C711,ak77045132d0,,ativo,,Mercadão - Cotia - Loja 2,,,56780,25,2026-06-17 11:50:04,1
540,RCH-IMP-000029,impressora,Oki,OKI ES4172,ak97011015c0,,ativo,,Humana Verbo Divino,,,5364,0,2026-06-17 11:50:04,1
541,RCH-IMP-000030,impressora,Oki,OKI C711,ak57027641d0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
542,RCH-IMP-000031,impressora,Oki,OKI C711,ak72034259d0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
543,RCH-IMP-000032,impressora,Oki,OKI C711,ak82002033d0,,ativo,,Mercadão -  Av. Santos drumont  - Loja 3,,,33563,17437,2026-06-17 11:50:04,1
544,RCH-IMP-000033,impressora,Oki,OKI C711,ak7c001818d0,,ativo,,Mercadão - Rod. Arivaldo de Almeida - Loja 1,,,61684,24,2026-06-17 11:50:04,1
545,RCH-IMP-000034,impressora,Epson,EPSON L805,w7uk045787,,ativo,,O.S Manutenção,,,14425,0,2026-06-17 11:50:04,1
546,RCH-IMP-000035,impressora,Oki,OKI C711,ak76042717d0,,ativo,,Amparo - US,,,25160,13261,2026-06-17 11:50:04,1
547,RCH-IMP-000036,impressora,Oki,OKI ES4172,ak74007338,,ativo,,HD MboiMirim Vera Cruz,,,150813,0,2026-06-17 11:50:04,1
548,RCH-IMP-000037,impressora,Oki,OKI ES4172,a74007347b0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
549,RCH-IMP-000038,impressora,Oki,OKI ES4172,bw02002795,,ativo,,R10 - SP,,,83563,0,2026-06-17 11:50:04,1
550,RCH-IMP-000039,impressora,Oki,OKI ES4172,ak74007341b0,,ativo,,R10 - SP,,,0,0,2026-06-17 11:50:04,1
