id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1018,512,DATA,LOCAL COLETA,,LOCAL ATUAL,,transferencia,,MOVIMENTO,,,,
1019,513,2026-06-14,R10,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1020,514,2026-06-14,R10,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1021,515,2026-06-14,,,CAT,,transferencia,,,,,,
1022,516,2026-06-14,,,CAT,,transferencia,,,,,,
1023,516,2026-06-15,CAT,,Ama Joamar,,saida_cliente,,Envio para cliente,,,,
1024,517,2026-06-15,,,CAT,,transferencia,,,,,,
1025,518,2026-06-15,,,CAT,,transferencia,,,,,,
1026,519,2026-06-15,,,CAT,,transferencia,,,,,,
1027,520,2026-06-15,,,CAT,,transferencia,,,,,,
1028,521,2026-06-15,,,CAT,,transferencia,,,,,,
1029,522,2026-06-15,,,CAT,,transferencia,,,,,,
1030,523,2026-06-15,,,CAT,,transferencia,,,,,,
1031,524,2026-06-15,,,CAT,,transferencia,,,,,,
1032,525,2026-06-15,,,CAT,,transferencia,,,,,,
1033,526,2026-06-15,,,CAT,,transferencia,,,,,,
1034,527,2026-06-15,,,CAT,,transferencia,,,,,,
1035,528,2026-06-15,,,CAT,,transferencia,,,,,,
1036,529,2026-06-15,,,CAT,,transferencia,,,,,,
1037,530,2026-06-15,,,CAT,,transferencia,,,,,,
1038,531,2026-06-15,,,CAT,,transferencia,,,,,,
1039,532,2026-06-15,,,CAT,,transferencia,,,,,,
1040,533,2026-06-15,,,CAT,,transferencia,,,,,,
1041,534,2026-06-15,,,CAT,,transferencia,,,,,,
1042,535,2026-06-15,,,CAT,,transferencia,,,,,,
1043,536,2026-06-15,,,CAT,,transferencia,,,,,,
1044,537,2026-06-15,,,CAT,,transferencia,,,,,,
1045,538,2026-06-15,,,CAT,,transferencia,,,,,,
1046,539,2026-06-15,,,CAT,,transferencia,,,,,,
1047,540,2026-06-15,,,CAT,,transferencia,,,,,,
1048,541,2026-06-15,,,CAT,,transferencia,,,,,,
1049,542,2026-06-15,,,CAT,,transferencia,,,,,,
1050,543,2026-06-15,,,CAT,,transferencia,,,,,,
1051,544,2026-06-15,,,CAT,,transferencia,,,,,,
1052,545,2026-06-15,,,CAT,,transferencia,,,,,,
1053,546,2026-06-15,,,CAT,,transferencia,,,,,,
1054,547,2026-06-15,,,CAT,,transferencia,,,,,,
1055,548,2026-06-15,,,CAT,,transferencia,,,,,,
1056,549,2026-06-15,,,CAT,,transferencia,,,,,,
1057,550,2026-06-15,,,CAT,,transferencia,,,,,,
1058,551,2026-06-15,,,CAT,,transferencia,,,,,,
1059,552,2026-06-15,,,CAT,,transferencia,,,,,,
1060,553,2026-06-15,,,CAT,,transferencia,,,,,,
1061,554,2026-06-15,,,CAT,,transferencia,,,,,,
1062,555,2026-06-15,,,CAT,,transferencia,,,,,,
1063,556,2026-06-15,,,CAT,,transferencia,,,,,,
1064,557,2026-06-15,,,CAT,,transferencia,,,,,,
1065,558,2026-06-15,,,CAT,,transferencia,,,,,,
1066,559,2026-06-15,,,CAT,,transferencia,,,,,,
1067,560,2026-06-15,,,CAT,,transferencia,,,,,,
1068,561,2026-06-15,,,CAT,,transferencia,,,,,,
1069,562,2026-06-15,,,CAT,,transferencia,,,,,,
1070,563,2026-06-15,,,CAT,,transferencia,,,,,,
1071,564,2026-06-15,,,CAT,,transferencia,,,,,,
1072,565,2026-06-15,,,CAT,,transferencia,,,,,,
1073,566,2026-06-15,,,CAT,,transferencia,,,,,,
1074,567,2026-06-15,,,CAT,,transferencia,,,,,,
1075,568,2026-06-15,,,CAT,,transferencia,,,,,,
1076,569,2026-06-15,,,CAT,,transferencia,,,,,,
1077,570,2026-06-15,,,CAT,,transferencia,,,,,,
1078,571,2026-06-15,,,CAT,,transferencia,,,,,,
1079,572,2026-06-15,,,CAT,,transferencia,,,,,,
1080,573,2026-06-15,,,CAT,,transferencia,,,,,,
1081,574,2026-06-15,,,CAT,,transferencia,,,,,,
1082,575,2026-06-15,,,CAT,,transferencia,,,,,,
1083,576,2026-06-15,,,CAT,,transferencia,,,,,,
1084,577,2026-06-15,Ama Joamar,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1085,535,2026-06-19,CAT,,P.A Alvorada,,saida_cliente,,Envio para cliente,,,,
1086,578,2026-06-19,P.S Vila Dirce,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1087,513,2026-06-19,CAT,,P.S Vila Dirce,,saida_cliente,,Envio para cliente,,,,
1088,513,2026-06-19,P.S Vila Dirce,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1089,514,2026-06-19,CAT,,P.S Vila Dirce,,saida_cliente,,Envio para cliente,,,,
1090,579,2026-06-19,CAT,,Upa Itu,,saida_cliente,,Envio para cliente,,,,
1091,580,2026-06-19,Upa Itu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1092,566,2026-06-22,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1093,577,2026-06-22,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1094,565,2026-06-22,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1095,569,2026-06-22,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1096,581,2026-06-22,O.S Manutenção,,Ama Prates,,saida_cliente,,Envio para cliente,,,,
1097,582,2026-06-23,,,CAT,,entrada_estoque,,Entrada equipamento,,,,
1098,583,2026-06-23,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1099,584,2026-06-23,Ama Prates,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1100,585,2026-06-23,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1101,586,2026-06-23,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1102,587,2026-06-23,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1103,588,2026-06-23,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1104,532,2026-06-26,CAT,,Carreta Itaqua,,saida_cliente,,Envio para cliente,,,,
1105,533,2026-06-26,CAT,,Carreta Itaqua,,saida_cliente,,Envio para cliente,,,,
1106,513,2026-06-26,CAT,,P.S Santana,,saida_cliente,,Envio para cliente,,,,
1107,589,2026-06-26,P.S Santana,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1108,586,2026-06-28,CAT,,CSI 24hrs,,saida_cliente,,Envio para cliente,,,,
1109,589,2026-06-28,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1110,590,2026-06-28,CSI 24hrs,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1111,535,2026-06-29,P.A Alvorada,,Upa Americana,,saida_cliente,,Envio para cliente,,,,
1112,585,2026-06-29,CAT,,P.A Alvorada,,saida_cliente,,Envio para cliente,,,,
1113,591,2026-06-29,Upa de Americana,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1114,524,2026-07-03,CAT,,Hosp Geral de Arraial do Cabo (P),,saida_cliente,,Envio para cliente,,,,
1115,525,2026-07-03,CAT,,Hosp Geral de Arraial do Cabo (B),,saida_cliente,,Envio para cliente,,,,
1116,588,2026-07-03,CAT,,Hosp Geral de Arraial do Cabo (T),,saida_cliente,,Envio para cliente,,,,
1117,583,2026-07-03,CAT,,Hosp Geral de Arraial do Cabo (Rec RX),,saida_cliente,,Envio para cliente,,,,
1118,523,2026-07-04,CAT,,Humana Ibirapuera,,saida_cliente,,Envio para cliente,,,,
1119,592,2026-07-05,Hosp Geral de Arraial do Cabo,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1120,593,2026-07-05,Hosp Geral de Arraial do Cabo,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1121,594,2026-07-07,ADM - Samir,,Ubs Jundiapeba,,saida_cliente,,Envio para cliente,,,,
1122,595,2026-07-07,Ubs Jundiapeba,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1123,596,2026-07-07,R10,,Humana Ibirapuera,,retorno_manutencao,,Retorno de manutenção,,,,
1124,523,2026-07-07,Humana Ibirapuera,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1125,577,2026-07-17,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1126,565,2026-07-17,O.S Manutenção,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1127,597,2026-07-17,HC Campo Limpo,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1128,587,2026-07-17,CAT,,HC Campo Limpo,,saida_cliente,,Envio para cliente,,,,
1129,595,2026-07-18,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1130,590,2026-07-18,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1131,592,2026-07-18,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
1132,593,2026-07-18,CAT,,O.S Manutenção,,envio_manutencao,,Envio para manutenção,,,,
